group,need_variable,median_score,group_type
High income,food_system_need_index_main_min4,0.4482880589792331,income_group
Low income,food_system_need_index_main_min4,0.5784944884896861,income_group
Lower middle income,food_system_need_index_main_min4,0.5384060507486226,income_group
Not classified,food_system_need_index_main_min4,0.5487425083122717,income_group
Upper middle income,food_system_need_index_main_min4,0.5238357195099547,income_group
High income,need_social_score,0.3707604131507543,income_group
Low income,need_social_score,0.7003194347146733,income_group
Lower middle income,need_social_score,0.6240512588156876,income_group
Not classified,need_social_score,0.6148648798687582,income_group
Upper middle income,need_social_score,0.49995930552734247,income_group
High income,need_environmental_score,0.48904124616059674,income_group
Low income,need_environmental_score,0.5760860026327337,income_group
Lower middle income,need_environmental_score,0.5107667836770513,income_group
Not classified,need_environmental_score,0.5384159719175077,income_group
Upper middle income,need_environmental_score,0.527906976744186,income_group
High income,need_resilience_score,0.547486033519553,income_group
Low income,need_resilience_score,0.37988826815642457,income_group
Lower middle income,need_resilience_score,0.5307262569832403,income_group
Not classified,need_resilience_score,0.4371508379888268,income_group
Upper middle income,need_resilience_score,0.5698324022346368,income_group
High income,need_food_security_score,0.1893491124260355,income_group
Low income,need_food_security_score,0.8964497041420119,income_group
Lower middle income,need_food_security_score,0.7100591715976331,income_group
Not classified,need_food_security_score,0.6834319526627219,income_group
Upper middle income,need_food_security_score,0.4437869822485207,income_group
High income,need_nutrition_score,0.4953579819866858,income_group
Low income,need_nutrition_score,0.5206728886568333,income_group
Lower middle income,need_nutrition_score,0.5161736392115912,income_group
Not classified,need_nutrition_score,0.5462978070747944,income_group
Upper middle income,need_nutrition_score,0.490503850672236,income_group
High income,need_food_waste_score,0.3441860465116279,income_group
Low income,need_food_waste_score,0.7465116279069768,income_group
Lower middle income,need_food_waste_score,0.5720930232558139,income_group
Not classified,need_food_waste_score,0.48720930232558135,income_group
Upper middle income,need_food_waste_score,0.627906976744186,income_group
High income,need_sustainability_score,0.6155660377358491,income_group
Low income,need_sustainability_score,0.4056603773584906,income_group
Lower middle income,need_sustainability_score,0.2971698113207547,income_group
Not classified,need_sustainability_score,0.5896226415094339,income_group
Upper middle income,need_sustainability_score,0.5047169811320755,income_group
High income,need_supply_vulnerability_score,0.547486033519553,income_group
Low income,need_supply_vulnerability_score,0.37988826815642457,income_group
Lower middle income,need_supply_vulnerability_score,0.5307262569832403,income_group
Not classified,need_supply_vulnerability_score,0.4371508379888268,income_group
Upper middle income,need_supply_vulnerability_score,0.5698324022346368,income_group
East Asia & Pacific,food_system_need_index_main_min4,0.4662510103208198,region
Europe & Central Asia,food_system_need_index_main_min4,0.39232819104538674,region
Latin America & Caribbean,food_system_need_index_main_min4,0.594918065874967,region
Middle East & North Africa,food_system_need_index_main_min4,0.6105247796390465,region
